"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.867203219315895","0.0014923236007394526","0.25858480749219565","0.0","3","6","false","v12614","43.333333333333336","0","3","0","0.9537547867852275","false","0","v12614","22694","0.42333333333333334"
"5.014084507042254","0.0","0.199438202247191","0.0","1","8","false","v12627","14.0","0","1","0","0.9352567014993185","false","0","v12627","0","0.0"
"3.5774647887323945","0.002818448511036747","0.2795275590551181","0.0","4","6","false","v13462","53.75","0","4","0","0.9584279872785098","false","0","v13462","63172","0.36379310344827587"
"4.245472837022133","0.0","0.23554502369668245","0.0","1","6","false","v13634","58.0","0","1","0","0.9476536639189979","false","0","v13634","0","0.0"
"4.454728370221328","2.1265753405443421E-4","0.22448057813911473","0.0","2","8","false","v13844","25.5","0","2","0","0.9442785746738496","false","0","v13844","1478","0.5444444444444444"
"4.144869215291751","0.005448717646495989","0.2412621359223301","0.0","10","7","false","Blautia_wexlerae","4.4","0","10","0","0.9492763029791653","false","0","Blautia_wexlerae","95982","0.22666666666666666"
"4.47887323943662","0.0","0.2232704402515723","0.0","1","6","false","v13850","45.0","0","1","0","0.9438891412994093","false","0","v13850","0","0.0"
"3.533199195171026","0.014931066330430447","0.28302961275626426","0.0","4","6","false","v13873","45.5","0","4","0","0.9591419484649834","false","0","v13873","206204","0.31560283687943264"
"3.5251509054325956","0.024793564527958188","0.283675799086758","0.0","20","5","false","Clostridiaceae_bacterium","5.4","0","20","0","0.9592717595897968","false","0","Clostridiaceae_bacterium","227180","0.14193548387096774"
"4.245472837022133","0.0","0.23554502369668245","0.0","1","6","false","v14155","58.0","0","1","0","0.9476536639189979","false","0","v14155","0","0.0"
"3.408450704225352","0.009735688418304382","0.29338842975206614","0.0","7","6","false","v14268","44.0","0","7","0","0.9611540208995911","false","0","v14268","210246","0.2471264367816092"
"5.364185110663984","0.0","0.18642160540135033","0.0","1","8","false","v15120","4.0","0","1","0","0.9296099175699358","false","0","v15120","0","0.0"
"4.366197183098592","0.008117476375709623","0.2290322580645161","0.0","4","7","false","Clostridium_sp_AF27_2AA","3.75","0","4","0","0.9457064970467969","false","0","Clostridium_sp_AF27_2AA","106196","0.275"
"4.494969818913481","0.0","0.2224709042076992","0.0","1","8","false","v15737","41.0","0","1","0","0.9436295190497825","false","0","v15737","0","0.0"
"3.4004024144869214","0.009598233408823209","0.2940828402366864","0.0","9","6","false","v15767","42.77777777777778","0","9","0","0.9612838320244045","false","0","v15767","212554","0.23737373737373738"
"4.494969818913481","0.0","0.2224709042076992","0.0","1","8","false","v15769","41.0","0","1","0","0.9436295190497825","false","0","v15769","0","0.0"
"3.847082494969819","1.9309396646726635E-4","0.25993723849372385","0.0","2","6","false","v19128","50.5","0","2","0","0.954079314597261","false","0","v19128","4880","0.61875"
"3.267605633802817","0.014442764811378565","0.30603448275862066","0.0","12","6","false","v20373","35.666666666666664","0","12","0","0.9634257155838255","false","0","v20373","302366","0.2180293501048218"
"4.402414486921529","0.0","0.22714808043875687","0.0","1","6","false","v21380","38.0","0","1","0","0.9451223469851366","false","0","v21380","0","0.0"
"4.494969818913481","0.0","0.2224709042076992","0.0","1","8","false","v21383","41.0","0","1","0","0.9436295190497825","false","0","v21383","0","0.0"
"4.237424547283702","0.0","0.23599240265906934","0.0","1","7","false","v21977","46.0","0","1","0","0.9477834750438112","false","0","v21977","0","0.0"
"3.215291750503018","0.015490770827007595","0.31101376720901125","0.0","9","6","false","v22592","42.55555555555556","0","9","0","0.9642694878951126","false","0","v22592","272744","0.24020552344251767"
"3.3843058350100605","0.005707083335521983","0.29548156956004756","0.0","6","6","false","v26470","43.5","0","6","0","0.9615434542740313","false","0","v26470","127906","0.3125"
"4.00804828973843","2.0627179774333174E-4","0.2494979919678715","0.0","2","6","false","v26490","39.0","0","2","0","0.951483092100993","false","0","v26490","3256","0.6229508196721312"
"1.8","0.0","0.5555555555555556","0.0","1","2","false","v26810","5.0","0","1","0","0.8400000000000001","false","0","v26810","0","0.0"
"4.036217303822937","9.575060078544585E-4","0.24775672981056832","0.0","2","7","false","v26902","43.5","0","2","0","0.9510287531641461","false","0","v26902","15000","0.551948051948052"
"3.839034205231388","4.5160541359259E-4","0.26048218029350106","0.0","3","6","false","v27686","55.0","0","3","0","0.9542091257220744","false","0","v27686","17544","0.5142857142857142"
"3.6177062374245472","0.0024693947445173932","0.2764182424916574","0.0","6","6","false","v27832","36.5","0","6","0","0.9577789316544427","false","0","v27832","64612","0.2886178861788618"
"4.0","3.3222976338339493E-4","0.25","0.0","2","6","false","v27879","53.5","0","2","0","0.9516129032258065","false","0","v27879","9688","0.6104651162790697"
"3.7303822937625752","0.0019837265110850813","0.2680690399137001","0.0","5","6","false","v28075","35.2","0","5","0","0.9559615759070552","false","0","v28075","37146","0.32264150943396225"
"3.319919517102616","0.0115951898371562","0.3012121212121212","0.0","6","6","false","v28381","40.666666666666664","0","6","0","0.9625819432725384","false","0","v28381","152664","0.2526539278131635"
"4.0321931589537225","0.002050206849642096","0.24800399201596804","0.0","4","6","false","v14237","17.75","0","4","0","0.9510936587265528","false","0","v14237","32610","0.3101851851851852"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v14253","51.0","0","1","0","0.9269487895112611","false","0","v14253","0","0.0"
"4.531187122736418","0.1808984879632422","0.22069271758436945","0.0","51","7","false","Gemmiger_formicilis","1.0784313725490196","0","51","0","0.9430453689881223","false","0","Gemmiger_formicilis","1750714","0.0392156862745098"
"4.732394366197183","0.0","0.2113095238095238","0.0","1","8","false","v14636","17.0","0","1","0","0.9398000908677874","false","0","v14636","0","0.0"
"3.4527162977867203","0.008758863031353656","0.2896270396270396","0.0","7","6","false","v15129","42.714285714285715","0","7","0","0.9604400597131174","false","0","v15129","139438","0.24394319131161235"
"4.7002012072434605","2.9150866704654853E-4","0.2127568493150685","0.0","2","8","false","v15653","12.5","0","2","0","0.9403193353670409","false","0","v15653","2054","0.575"
"3.5291750503018107","0.007838874201241864","0.28335233751425315","0.0","8","6","false","v15740","33.875","0","8","0","0.9592068540273901","false","0","v15740","163268","0.2298951048951049"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v15952","51.0","0","1","0","0.9269487895112611","false","0","v15952","0","0.0"
"4.104627766599598","0.0","0.24362745098039215","0.0","1","6","false","v16229","45.0","0","1","0","0.9499253586032322","false","0","v16229","0","0.0"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v17618","51.0","0","1","0","0.9269487895112611","false","0","v17618","0","0.0"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v20548","51.0","0","1","0","0.9269487895112611","false","0","v20548","0","0.0"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v22109","51.0","0","1","0","0.9269487895112611","false","0","v22109","0","0.0"
"5.529175050301811","0.0","0.18085880640465793","0.0","1","8","false","v24431","51.0","0","1","0","0.9269487895112611","false","0","v24431","0","0.0"
"5.086519114688128","2.1576941202969293E-4","0.1965981012658228","0.0","3","8","false","v24539","32.333333333333336","0","3","0","0.9340884013759979","false","0","v24539","8342","0.746031746031746"
"4.217303822937626","0.08594297076570923","0.23711832061068702","0.0","33","7","false","Clostridium_sp_AM22_11AC","2.9696969696969697","0","33","0","0.9481080028558447","false","0","Clostridium_sp_AM22_11AC","1065846","0.1790633608815427"
"4.54728370221328","0.05313407780473359","0.21991150442477875","0.0","40","7","false","Clostridium_fessum","2.625","0","40","0","0.9427857467384955","false","0","Clostridium_fessum","518880","0.18055555555555555"
"5.146881287726358","0.008036633963857667","0.1942924159499609","0.0","24","8","false","Clostridium_sp_AM33_3","3.0","0","24","0","0.9331148179398975","false","0","Clostridium_sp_AM33_3","160126","0.5"
"4.237424547283702","0.0","0.23599240265906934","0.0","1","7","false","v25254","46.0","0","1","0","0.9477834750438112","false","0","v25254","0","0.0"
"5.094567404426559","8.595868523533833E-5","0.19628751974723538","0.0","2","8","false","v25410","36.5","0","2","0","0.9339585902511846","false","0","v25410","3606","0.8658536585365854"
