name	SRR6066071	SRR6066072	SRR6066073	SRR6066074	SRR6066075	SRR6066076	SRR6066077	SRR6066078	SRR6066079	SRR6066080	SRR6066081	SRR6066082	SRR6066083	SRR6066084	SRR6066085	SRR6066086	SRR6066087	SRR6066088	SRR6066089	SRR6066090	SRR6066091	SRR6066092	SRR6066093	SRR6066094	SRR6066095	SRR6066096	SRR6066097	SRR6066098	SRR6066099	SRR6066100	SRR6066101	SRR6066102	SRR6066103	SRR6066104	SRR6066105	SRR6066106	SRR6066107	SRR6066108	SRR6066109	SRR6066110	SRR6066111	SRR6066112	SRR6066113	SRR6066114	SRR6066115	SRR6066116	SRR6066117	SRR6066137	SRR6066138	SRR6066139	SRR6066141	SRR6066142	SRR6066143	SRR6066144	SRR6066145	SRR6066146	SRR6066147	SRR6066148	SRR6066149	SRR6066150	SRR6066151	SRR6066152	SRR6066153	SRR6066154	SRR6066155	SRR6066156	SRR6066157	SRR6066168	SRR6066169	SRR6066170	SRR6066171	SRR6066172	SRR6066173	SRR6066174	SRR6066175	SRR6066176	SRR6066177
Alistipes_putredinis	1.54239	0.17408	0	0	0	0	0	6.02955	3.53827	0	0	0	4.30112	0	0.12777	0.10429	3.78117	5.76399	0	2.36757	0.28311	0	0.38752	0.12948	0.72509	0	0	1.20566	0.018	0.24165	1.31249	0	9.49283	0	0.03043	0	2.22645	1.00694	0	4.2879	0	0.47264	0	0	5.57976	0	0	0	0	4.37169	0	0.37558	0	0.56733	0	0.2933	0	0	1.64331	0	3.15353	4.92409	4.60922	6.62341	0.54934	5.33163	0	0.35546	0.03853	1.37845	0.44807	2.53261	3.10245	1.8974	1.08176	0.77245	0.32873
Parabacteroides_merdae	1.44781	0.43208	0	0.0016	1.08756	0	2.66065	11.01698	0.15312	1.25636	0	0	0.67069	0	0.08661	0	2.00873	3.05282	1.48257	1.02273	0	0.11599	0.47239	0.11066	0.91051	0.92484	0	0.29717	1.22652	0	0.67287	4.10494	0.90059	0.28928	0	0.84634	0.62537	0	0	1.55418	0	1.81089	11.05825	0	0.57692	0	0.55667	0	1.18058	2.51902	0.1854	0.00681	0.81357	1.35458	0	0.67963	0	0	0	0.10007	0.33332	0.33063	0.1244	0.64339	0.21962	0.22532	0.08537	0.10152	0.13518	0.19222	0.07329	0.79957	0	0.56514	0.97008	0.28176	0.26603
Lachnospira_pectinoschiza	1.40654	0.51186	0	0	0	0	0	0	0	0.50348	0	0	0	0	0	0	0	0	0	0	8.03928	0.05944	0	4.92968	0.01279	4.74585	0	5.46965	4.18377	7.95929	0.29602	0	0.36368	0.0177	0	1.27213	0	1.27731	0	0.37597	0.06443	0	0	5.52657	0.45211	0	0	0	1.04319	0	0	0	0	0.03384	0	0.07426	0	0	0.06136	2.49938	0.82667	0	0.4588	0	1.61671	0.65831	0.85271	0	0	0	0	0	0.13042	0	0	5.94347	5.10709
Bacteroides_uniformis	1.39861	1.4531	0	0.40331	4.99085	0	7.50677	0	2.59984	12.61478	0	0.91903	4.65421	2.77759	0	5.82809	0.22764	1.3383	2.36211	7.61386	0.56693	0.14664	7.13065	1.83608	0.33817	4.84046	2.3704	7.5323	2.45086	0.59297	1.99375	0	0.59425	0.03244	3.69853	10.42684	5.9246	4.57029	0.12587	0.8777	0.40479	0.95225	3.63297	2.27896	0.28251	63.02125	0	5.63715	3.0703	0.6216	0.0247	4.43358	0.32448	0.38207	5.77661	4.05857	0	0	0.55644	0.61929	1.12732	5.33776	0.30242	3.71703	0.30006	3.5512	0.04384	0.08667	0.10388	0.88576	1.06041	2.03627	3.19218	0.05258	5.30974	2.08236	3.96526
Parasutterella_excrementihominis	1.36982	0.81037	0	2.36446	0	0	0	0.00475	0.03477	1.45139	0	0	0	0	0	1.07258	1.19262	1.53814	0	0.17335	0.12524	0	0.01483	0	0.02941	0.0108	0.71788	0	0.2105	0.15791	0.33003	0	0	0	0.56191	0	0.40992	0	0	0	0	0	0	0	0.14648	0	0	1.21636	1.6658	0.79156	0.0654	0.23247	0	0	0	0.05391	0	0.02955	0	0.02464	1.18332	0.68736	0.04263	1.33373	0	0.14628	0.91091	0.09257	0	0.01042	0	0.03554	0	0.06855	0	0.02007	0.01424
Bifidobacterium_adolescentis	1.35037	0	0	0	0	10.0519	0	0	0	0	0	0	2.26461	0	0	0	0	0.88065	0	0	1.46761	0.35366	0	0	0.19434	2.03775	0.20826	0.43224	0	1.60779	0	0.69072	0.19779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47805	0	0	0	0	0	0	0	0	10.45516	0	1.24686	0.19535	0	0.20091	0.01531	0	0.49093	0	0.31995	0	0.19913	0	0.02004	0	0	0.2679	0.92879	0
Bacteroides_finegoldii	1.0226	0	0	0	6.38208	0	0.9527	0	0.57706	0	0	0	0	0	0.18529	1.21275	0.65644	0	0	2.6766	0	0.06053	0	0.68668	0	0	0	0.11008	0.80846	0	0.2035	0	1.60634	0	0.15771	0	0	0	0	0.07543	0	0.05099	0.36948	0	0	0	0	0	2.89028	0.00679	0	0	0	0.02908	0	0	0	0	0	0.10852	0.00647	0	0.08979	1.61604	0.01148	0.18201	0	0.06522	0	0.16252	0.60933	0	0.23059	0.12489	0	0.19917	7.70029
Gemmiger_formicilis	0.86857	1.73142	0	0	0.23531	0	0.12487	0	0.04363	0	5.53357	0.23217	1.02912	0.30903	0.13077	1.02197	0.06739	0	0	0	0.94296	0.80141	2.82184	0	0.73553	1.88802	0.88952	2.88625	0	0.99803	0.03068	0	1.33787	1.03394	0	0.22844	0	0.02112	0	0	1.77907	0	0	0.2145	1.4424	0	0.1003	0	0	0	0.57682	0	0	0.00512	0	0.45584	0	1.22139	3.74433	0.06454	1.36717	1.49919	1.14643	4.0727	1.30864	2.22845	0.70454	0.69597	0	2.24256	0.51715	0.05608	0.09488	6.0835	2.57742	0.21912	1.7123
Clostridium_fessum	0.69318	0.06412	0	0.92981	0.89791	0	0.06852	0	0.14073	0.3576	0.94513	0.45298	0.50678	0.09026	0.22069	0	0.13811	0.06514	0	0.39961	1.97374	0.19936	0.4727	1.08404	0.3352	0.65456	0.29721	0.9469	0	1.85812	0.22074	0	0.21561	0.12935	0	0	0	0.54244	0	0.52527	0.13809	0.18545	0	0.97762	0.28348	0	0.26504	0	0.12362	0.52391	0.28344	0.0218	0.85544	0.28672	0	0	0	0.08837	0.3518	0.81744	1.08245	0.70307	0.13057	0.4183	0.37824	0.35009	0.01651	0.20193	2.56529	0.28534	1.32513	0.28444	0.13749	0.40785	1.03325	0.31732	0.70913
Holdemanella_biformis	0.56046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349	0	1.79157	0	0.72594	0	0
Ruminococcus_bromii	0.49168	0.21119	0	0	0	0	1.81194	0	0	0.20726	0	0	0.8241	2.36377	0	0	0	1.07721	0	0	0	0.00601	0.14698	0.46668	0	0.73711	0.01397	0.84428	0	0	1.02007	0	0.19348	0	0	0	0	0.49686	0	0	0	0.57908	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22571	1.19878	0	1.12853	0	1.31125	0.28686	0.65319	0	0.04343	0.34917	0	0	0	0.67915	0.03845	13.10774	0.20025	0.68894	0.54611	1.10747	0
GGB1407_SGB1930	0.44424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34696	0	0	0	0	0	0	0
Faecalibacillus_intestinalis	0.43921	0	0	0.52266	0	0.0314	0	0	0.03543	0	0	0.05747	0.02201	0	0.07954	0	0	0	0	0.11286	0.04516	0	0	0.19769	0.05041	0.05118	0	0.07124	0	0.02312	0.04003	0	0.13499	0	0	0.08453	0.03893	0.1386	0	0	0.03599	0.02268	0	0.02516	0	0	0.02685	0	0.12958	0.16364	0.05265	0	0	0.01136	0	0	0	0	0.0285	0.00886	0	0.17138	0.01022	0.00752	0	0.11142	0.02751	0	0.02346	0	0.22817	0.02049	0.09618	0.00694	0.0224	0.05511	0
