name	SRR6066071	SRR6066072	SRR6066073	SRR6066074	SRR6066075	SRR6066076	SRR6066077	SRR6066078	SRR6066079	SRR6066080	SRR6066081	SRR6066082	SRR6066083	SRR6066084	SRR6066085	SRR6066086	SRR6066087	SRR6066088	SRR6066089	SRR6066090	SRR6066091	SRR6066092	SRR6066093	SRR6066094	SRR6066095	SRR6066096	SRR6066097	SRR6066098	SRR6066099	SRR6066100	SRR6066101	SRR6066102	SRR6066103	SRR6066104	SRR6066105	SRR6066106	SRR6066107	SRR6066108	SRR6066109	SRR6066110	SRR6066111	SRR6066112	SRR6066113	SRR6066114	SRR6066115	SRR6066116	SRR6066117	SRR6066137	SRR6066138	SRR6066139	SRR6066141	SRR6066142	SRR6066143	SRR6066144	SRR6066145	SRR6066146	SRR6066147	SRR6066148	SRR6066149	SRR6066150	SRR6066151	SRR6066152	SRR6066153	SRR6066154	SRR6066155	SRR6066156	SRR6066157	SRR6066168	SRR6066169	SRR6066170	SRR6066171	SRR6066172	SRR6066173	SRR6066174	SRR6066175	SRR6066176	SRR6066177
v00001	0.0765844540272639	0.00544810685939943	0	0.0621148576872538	0.0454965547947157	0.585392611520784	0	0	0.0278349111606718	0.0631926450645519	0.427972214462611	0	0.244717082257804	0	0	0.151215312075286	0.204817215964604	0.00235097982807411	0.0212755991544422	0.20173167299621	0.0675997826530013	0	0.132798865175978	0.00578178697984866	0.145381586681722	0.118310619296117	0	0.0123217557087481	0.352146063429783	0.0689913226620247	0.17819648297782	0	0.00241401767804549	0	0.12770527451664	0.0175595975113477	0.0310444076348007	0.395990818696199	0.237534268597969	0.030152420224456	0	0.0257332626362675	0	0	0.0143562768728975	0.79416846410129	0	0.359771995050941	0.0994847063860209	0.0428503547636387	0	0.0174229339048429	0	0.0404354924701061	0.150381224910339	0.00872901732375508	0	0	0.0100307730039115	0.170126611253894	0.013885173358354	0.0675076590894518	0.0236756482782772	0	0.00626924970482225	0	0.00274739446052475	0	0	0	0.0110309658446163	0.00616564371112456	0.071303110198309	0	0.114521203669319	0.0535092961954994	0.0277191987469409
v00005	0.0362808289035529	0	0	0.0937058955021765	0.0416029658110167	0	0.0591380343747479	0	0.0054767918740251	0.0318961705268393	0	0	0.00387833618393659	0.00297940734378571	0.00372440675301589	0	0.0268462688606318	0	0.00295294555232255	0.0243284459291683	0.00291951030024638	0	0	0	0.0102607735625006	0.00382200565686959	0	0.00497914606023229	0.0285432979784881	0.00463353590656527	0.00917889560973755	0	0.00680961468332792	0	0	0.00625505578089247	0.0765625855986793	0	0	0.0107478233559121	0	0	0	0	0.0348503581530892	0	0	0	0	0.010305167438787	0	0	0	0	0	0.0324164369081849	0	0	0.00705925981078539	0	0.0129510217144911	0.0137100147409853	0.0137368398488347	0.00590889554270814	0.0026544453970142	0.0103077487217031	0	0	0.00821347580214585	0.00519475874831559	0	0.0410730918908773	0.00429230072222627	0	0.0302953975497459	0.0161647045581131	0.00641214097423225
v00006	0.00555486478525929	0	0	0.0134085781575821	0	0	0.0203454418864906	0.0359555940895291	0.0127686329362904	0.0492564225384667	0.0688699447236402	0	0.00641053308078962	0	0.00509445931539273	0	0.227319112109614	0	0.313844368331056	0.00512337320724955	0	0	0.0135473352926873	0	0.0134935859311033	0.0214709831875197	0	0.300593530292043	0	0	0	0.42311050701311	0.0564418729444429	0	0.0274990067636241	0.00621462862412566	0.061743656194101	0.508034853126411	0	0.0100253291566676	0	0.00967006599449989	0.0955143555055555	0	0.00673806057307699	0	0	0	0	0.0705850623524442	0	0.00957522702824306	0.0814135278075357	0.00219215859684616	0	0.00189854574754148	0	0	0	0.0144378099070174	0	0.0278705948676099	0	0.00897943371694433	0	0.0133519303741932	0	0	0	0.0778597714988484	0.0206380274962046	0.0129108891242489	0.00532612628386937	0.0328467466810719	0.0147133518471739	0.0110319371507856	0.00284536947067174
v00010	0.0267824209254161	0	0.0513933199008453	0.0407945086843165	0.0168433729021945	0.052635358234482	0.048760366822915	0.0250876157454801	0.0131272793464798	0.0403031075816311	0.125607856823325	0.0231518951013349	0.012288581861881	0.00693933143784333	0.0109079614259127	0.0164404910133384	0.0223486987895307	0.0185223714355005	0.0872704734985966	0.0341870143832021	0.0284675960942302	0	0.0131447843281065	0.00734869858454541	0.00715224692470557	0.0553336120960628	0.00710689436326209	0.0377417546955668	0.0591831283763051	0.0295597889405908	0.00380384593786045	0	0.0163832504595532	0.00738707506994039	0.0269896352895608	0.0176825647787381	0.0258177734850073	0.118844625286842	0.0439790791391164	0.00744726790099948	0.0185644158186888	0.00433217055915536	0	0.0628802597074998	0.003695493264787	0	0	0.0766544707112079	0.0250288060435141	0.0240609977165952	0.00384102492330083	0.010447947990647	0.0334360800123134	0.011299948454692	0.0601296784902082	0.0162495205188425	0	0	0	0.0152372629361597	0.00356200250647472	0.0298874250912777	0.00872831471033808	0.0270834994973275	0	0.00892033796161521	0.00499312738036254	0	0	0.0215460375431928	0.0199770791430361	0.0395531020408196	0.00890120170141613	0.00585218429048132	0.0145222766299638	0.00645218914388631	0.0853988150871971
v00030	0.02077417818867	0	0	0.0314524390728037	0	0	0.044334590106146	0	0.00607455734234879	0.142296160724173	0	0	0	0	0.00219315670614118	0.115330590824481	0	0	0	0.0355758173595632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721411665005279	0	0.00698442851443279	0	0.0153853429127554	0	0	0	0	0	0	0	0	0	0	0	0	0.0838844647928964	0.00317393922092268	0	0	0	0	0	0	0.00956905917715186	0	0	0	0	0.00550537261869516	0.0166326775421403	0	0	0	0	0	0	0	0.0316875656271705	0	0.220818323936006
v00033	0.0105957342138202	0	0	0	0	0	0	0	0	0	0	0	0.0032135304214662	0	0	0.0196052793473682	0	0	0	0.00317259500469664	0	0	0	0	0	0	0	0	0	0	0	0	0.00360976683553455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00538279541673315	0	0	0	0	0	0	0	0	0	0	0	0	0
v00038	0.00541935676859047	0	0	0	0.0575718870809111	0.028703777603715	0.0233417416465734	0	0	0	0.00831347094357154	0	0.00670087659028963	0	0.00322739133051311	0	0	0.00828081126631072	0	0.0720356379054252	0.00783682779367385	0	0.00615692009843108	0.0250701128363524	0.00338127148216662	0.0376395176087665	0	0	0.0292436894617264	0.0134072725946195	0	0	0	0.00374838914437536	0	0	0	0	0.0300762247351057	0	0	0	0	0.0203493800926644	0	0	0	0	0.0592322613790467	0	0	0	0	0	0	0	0	0.0508430008201566	0.00391044347626467	0.00535865487393358	0	0	0	0.00857787711140903	0	0.00532518306125693	0	0	0	0.00821687269736856	0.00417537241094535	0.0293181239802895	0.0549597888984206	0	0.00410909179467324	0.015241054626661	0.0114304160060815
v00042	0.0505148462912276	0.0512241661301946	0	0.0220059302742827	0.20793080168083	0	0.199185752044861	0	0.0988393518017621	0.405647781632677	0	0.0294805455576961	0.186135650388691	0.119363173671642	0	0.141717823493879	0.0149257185497438	0.0311016702306432	0.0807451551937454	0.190190528265897	0.0249970609337845	0.00410807604719734	0.242708688790423	0.0459409280279383	0.0428064916897488	0.186892597185212	0.0733296645172549	0.241049827567719	0.0691024486129104	0.0269618963667614	0.0877682372513912	0	0.0175474368290303	0	0.0864097239711239	0.276780078044702	0.19476530715604	0.131226669655875	0.00546376738418437	0.0413848033502392	0.0107743250611045	0.0561619199697406	0.0820054237052526	0.0785854159928884	0.0256845750378686	2.27617265608122	0	0.173580569498852	0.107813404678932	0.0294350092739718	0	0.110940895208853	0.0706816047807456	0.0106556338645137	0.17741123584537	0.101347755165671	0	0	0.0284879610858645	0.0265212727119921	0.0544254670776857	0.170190197878943	0.0249984673508433	0.173201088569088	0.0142772073946432	0.133194369562209	0	0.00453513335363774	0.0117431485580456	0.0461149226023975	0.0390927554370965	0.0926415620160417	0.108225929666061	0	0.257043012193334	0.101254388879704	0.169219974950999
v00054	0.0387089876519956	0.00460573183442163	0.0104361814810455	0.0372438799447372	0	0.0144628808848329	0	0.130554412728528	0.101685741177969	0	0	0	0.12787253133061	0	0.00966412795803649	0.029493016623131	0.0943838264359233	0.0715273022613882	0.00802018890287434	0.0644974804016638	0.0087817036253359	0	0.0355135787627048	0.00424604968277626	0.0281031099938847	0	0.00444992752790967	0.0332527637197436	0.00491164151698338	0.00796181534475251	0.0398790286182634	0	0.170007566335869	0	0	0.0143467630324683	0.0660398600780899	0.0424547246697771	0	0.100377480805053	0	0.0286136925432623	0	0	0.143592094241978	0	0	0.00509946472776198	0	0.0828500143423642	0	0.00746043351053669	0.0138227614602021	0.0141204186544411	0	0.00817155930679591	0	0	0.0407105390645028	0.0688420488978325	0.10512244499386	0.124809541502727	0.11600925763762	0.141565444799137	0.0168088360345577	0.131977221314585	0	0.00780216642295932	0.00701369916129061	0.0509968655129197	0.0194353965142534	0.0666973895311886	0.0745177674125438	0.0497009188334958	0.0373861401865888	0.0313679595146027	0.0185711499448773
v00075	0.00542597692335742	0	0	0	0.00386262268825175	0	0	0	0	0.00596828270014982	0	0	0.00904192561899432	0.0100952101126255	0	0	0	0	0	0	0.107123066378438	0	0	0.0200271043363717	0	0	0	0	0	0.107022151802805	0	0	0.0291972066015	0.0156405583228364	0	0.0108930122699141	0.00367153226385155	0	0	0	0	0	0.00536052854450985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100456312359939	0	0	0.00244917772491947	0	0	0.00389745735759772	0.0380358826106272	0	0	0	0.00519895021462267	0	0.00450080777783153	0.00645673091448759	0	0.0380114503295847	0	0
