v34486	1	Eubacterium_G
v47892	1	Eubacterium_E
v44536	1	Butyricimonas
v35023	1	Bacteroides
v13457	3	CAG-170,ER4,An200
v65812	1	Eubacterium_G
v12263	3	Lachnospira,Agathobacter,Bacteroides_F
v46332	1	Agathobaculum
v66913	3	UBA9502,Blautia_A,Clostridium_M
v51721	1	Ruminococcus_E
v55727	1	RC9
v65228	1	Parabacteroides
v84008	1	Parasutterella
v00804	1	CAG-269
v49360	1	Dialister
v90471	1	Faecalibacterium
v03340	1	Intestinimonas
v29438	1	Bacteroides
v28919	1	Faecalibacterium
v14693	1	Agathobacter
v19409	1	CAG-272_unknown
v38133	1	Intestinibacter
v18174	1	Clostridium_M
v07630	2	Lachnospira,Bacteroides_F
v09420	1	Lachnospira
v82277	1	Coprococcus
v13220	1	Bacteroides
v21540	1	Ruminiclostridium_E
v70069	1	Faecalibacterium
v58764	1	CAG-103
v37697	2	Lachnospira,Agathobacter
v67574	1	Ruminiclostridium_C
v62934	1	Faecalibacterium
v05226	1	Erysipelatoclostridium
v47600	1	Blautia_A
v72805	1	Streptococcus
v11994	1	Duodenibacillus
v13663	1	Faecalicatena
v07176	1	Eubacterium_I
v62262	1	Bacteroides_B
v89005	1	Prevotella
v43782	1	Peptostreptococcus
v39900	1	Blautia_A
v48824	1	Akkermansia
v06579	1	Agathobaculum
v00646	1	Faecalibacterium
v77576	1	Collinsella
v01000	2	Blautia_A,UBA737
v91981	1	Oscillibacter
v06423	1	Blautia_A
v56557	1	Ruminococcus_E
v35075	4	CAG-110,Oscillibacter,Olsenella_B,ER4
v23676	1	51-20
v25995	2	Muribaculaceae_unknown,Bacteroides
v80342	1	Romboutsia
v16205	1	Agathobacter
v17342	2	UBA9502,Blautia_A
v33758	2	Lachnospirales_unknown,Marseille-P4683
v44439	1	Megasphaera
v38603	1	Terrisporobacter
v47939	1	Adlercreutzia
v35767	2	UBA9502,Blautia_A
v04316	5	CAG-882,Lachnospiraceae_unknown,Lachnospira,Roseburia,UBA11774
v46746	2	Faecalibacterium,Prevotella
v80935	1	Clostridium_Q
v53329	1	Coprococcus
v11684	8	GCA-900066575,CAG-110,Hungatella_A,Clostridium_Q,Acutalibacter,UBA9502,Faecalibacterium,Lawsonibacter
v43023	1	TF01-11
v32937	1	Prevotella
v16346	1	Gemmiger
v17273	1	UBA738
v15942	1	Bacteroides_A
v59643	1	Bilophila
v77644	1	CAG-103
v02171	1	Caecibacter
v81107	1	Parasutterella
v77593	1	Ruminococcus_C
v53161	1	Dorea
v27254	1	Escherichia
v45545	1	Megamonas
v64997	3	Clostridium_M,Hungatella_A,Clostridium_Q
v69607	1	Prevotella
v74299	1	Dialister
v23436	1	Faecalicatena
v00741	1	Phascolarctobacterium_A
v78488	1	CAG-56
v07628	1	Clostridium_Q
v82469	1	Bacteroides_A
v21035	1	ER4
v28769	1	Ruminococcus_C
v76392	1	Bacteroides
v42666	3	Gemmiger,Oscillibacter,Acutalibacteraceae_unknown
v32481	1	CAG-83
v73957	1	Faecalibacterium
v59080	1	UBA1390
v07182	1	Parabacteroides
v33781	1	Fusobacterium_A
v78007	1	Faecalibacterium
v26808	1	Bacteroides
v71942	1	CAG-103
v69306	1	Erysipelatoclostridium
v67448	1	Blautia
v35403	2	Agathobaculum,Faecalibacterium
v43717	1	Prevotella
v72272	1	Blautia_A
v57700	6	Coprobacter,Prevotellamassilia,Parabacteroides,Odoribacter,Alistipes,Bacteroides
v84305	4	CAG-194,COE1,UBA9502,Roseburia
v47246	1	Gemmiger
v50908	1	Faecalibacterium
v06254	2	CAG-103,F23-B02
v07221	5	Roseburia,Agathobacter,CAG-411,UBA11774,TF01-11
v12897	3	Roseburia,Lachnospira,Agathobacter
v22305	1	Gemmiger
v69730	1	Caecibacter
v69666	1	Bacteroides_B
v09144	1	Faecalicatena
v56404	1	Prevotella
v37991	2	Bacteroides_A,Paraprevotella
v53484	2	GCA-900066995,Ruminococcus_E
v91372	1	Blautia_A
v80887	1	Mailhella
v80238	1	Parabacteroides
v10053	1	Coprobacter
v18159	1	CAG-170
v38196	1	51-20
v19280	1	Lachnospira
v73911	1	UBA1390
v63024	1	Parasutterella
v35457	1	Eubacterium_I
v04771	1	CAG-245
v07882	2	Bifidobacterium,Paenibacillus
v20504	1	Prevotellamassilia
v60247	2	Coprococcus_B,Collinsella
v40916	1	Romboutsia
v71791	1	Faecalibacterium
v62997	1	Clostridium_A
v14305	4	CAG-45,CAG-603,Roseburia,Agathobacter
v32627	1	ER4
v83425	1	Lachnospira
v07948	1	Phascolarctobacterium
v20854	2	Anaerostipes,CAG-269
v53302	1	Prevotella
v59690	1	Acutalibacter
v12387	1	CAG-279
v36963	1	Parasutterella
v11458	1	Faecalicatena
v29450	1	Eubacterium_E
v22465	2	Bacteroides,CAG-274_unknown
v14577	1	Lactobacillus_B
v36123	1	Holdemania
v83358	1	Klebsiella_A
v51001	1	Anaerostipes
v32448	5	Coprobacter,Roseburia,Lachnospira,Agathobacter,CAG-411
v61570	1	Kluyvera
v04986	2	CAG-882,Blautia_A
v71648	1	Ruminococcus_A
v68845	2	C941,Prevotella
v22551	3	CAG-110,CAG-170,ER4
v14130	1	Clostridium_M
v04810	1	Cloacibacillus
v01572	1	Dakarella
v29387	1	Ruminococcus_A
v06278	2	Flavonifractor,Lawsonibacter
v46122	1	TF01-11
v82211	2	Butyricimonas,Bacteroides
v60291	1	TF01-11
v52263	1	Collinsella
v48906	1	Prevotella
v52487	3	Ruminococcus_A,Roseburia,Faecalicatena
v61653	1	Adlercreutzia
v59483	2	Klebsiella_A,Klebsiella
v55809	3	Lachnobacterium,Agathobacter,TF01-11
v06291	1	Collinsella
v57779	2	Fournierella,Faecalibacterium
v63663	2	CAG-74_unknown,Lawsonibacter
v69844	2	Oscillibacter,ER4
v34767	1	Dialister
v52617	3	COE1,Lachnospira,TF01-11
v54768	1	Ruminococcus_E
v46387	1	Eisenbergiella
v34991	1	CAG-273
v29268	1	Clostridium
v00084	1	ER4
v15889	1	UBA9502
v06810	1	Akkermansia
v78335	1	Faecalibacterium
v72400	1	UBA1191
v14045	1	Faecalicatena
v39546	1	Faecalibacterium
v85849	1	Clostridium_M
v22509	1	Ruminococcus_E
v21918	2	CAG-510,Acetatifactor
v19236	1	Faecalibacterium
v09275	1	Dakarella
v44889	2	RUG013,UBA1691
v50483	1	Ruminococcus_D
v87429	1	Bacteroides_B
v07048	1	Parabacteroides
v54825	1	Ruminococcus_D
v28108	3	Clostridium_M,Flavonifractor,Marseille-P3106
v69838	1	CAG-170
v34293	1	Ruminococcus_C
v49820	1	Phascolarctobacterium_A
v20800	1	Bilophila
v59717	1	Bacteroides_A
v15739	2	CAG-83,CAG-180
v65723	5	F23-B02,Lachnospirales_unknown,UBA9475,Lawsonibacter,ER4
v79197	1	ER4
v42595	1	Blautia_A
v18121	1	Collinsella
v02556	2	Bacteroides_A,CAG-727_unknown
v83454	4	F082,Prevotellamassilia,Muribaculaceae_unknown,Bacteroides
v81899	1	Blautia
v55608	1	Streptococcus
v32375	1	Blautia
v87874	1	Enterococcus
v56891	1	Ruminococcus_A
v72762	1	Blautia_A
v00789	1	Escherichia
v60519	1	Bacteroides_B
v04351	1	GCA-900066135
v06831	2	Eubacterium_R,Ruminococcus_E
v52210	1	Ruminococcus_D
v73232	1	Fournierella
v11530	1	Faecalibacterium
v07384	1	Prevotellamassilia
v26068	1	Clostridium_Q
v49214	2	Prevotellamassilia,Prevotella
v24249	1	Bifidobacterium
v23099	1	Faecalibacterium
v54224	4	Peptococcaceae_unknown,Butyricicoccaceae_unknown,Butyricicoccus,Lachnoclostridium_A
v19621	1	UBA7160
v37500	1	Escherichia
v01358	1	GCA-900066995
v20574	1	UBA1206
v70993	1	Blautia_A
v08812	1	Faecalicatena
v05935	1	UBA1390
v75895	1	Parabacteroides
v42878	1	Agathobacter
v76482	2	F23-B02,ER4
v43591	4	Coprobacter,CAG-882,Agathobacter,CAG-411
v38483	1	Agathobacter
v60366	1	Akkermansia
v58657	1	Faecalibacterium
v77686	1	Parabacteroides
v16868	1	Roseburia
v22075	1	Roseburia
v46719	9	Ruminococcus_A,CAG-510,Faecalicatena,CAG-882,CAG-590,Lachnospira,Roseburia,CAG-724,Eubacterium_G
v09789	1	Veillonella_A
v08403	1	Bacteroides_B
v25269	2	Agathobacter,UBA11774
v43573	1	Parasutterella
v28443	1	CAG-873
v48000	1	Erysipelatoclostridium
v18227	1	Parabacteroides
v02278	1	Escherichia
v75778	1	Prevotella
v43697	1	Phascolarctobacterium
v36570	1	Dialister
v11888	1	Lachnospira
v64833	1	Gemmiger
v59757	1	Dakarella
v77314	1	ER4
v15978	1	Ruminococcus_E
v07132	1	Collinsella
v81414	1	Faecalicatena
v35209	2	CAG-274,CAG-274_unknown
v83490	1	Blautia_A
v24194	1	Acutalibacteraceae_unknown
v09947	1	Roseburia
v74158	1	Clostridium_M
v86508	1	Butyricicoccus_A
v20996	1	Bacteroides_B
v73070	1	Blautia_A
v13821	1	Ruminococcus_D
v08420	1	Bilophila
v68908	1	Anaerostipes
v25291	1	Coprobacter
v26737	1	Bifidobacterium
v69991	1	Ruminococcus_A
v09062	1	Dialister
v43882	1	Akkermansia
v80226	2	Faecalicatena,Solobacterium
v03860	1	Dialister
v54566	1	Ruminococcus_E
v08678	1	Prevotella
v71921	1	Agathobaculum
v17534	1	Faecalicatena
v61381	3	CAG-1031,Bacteroides_A,Alistipes
v00259	1	Megamonas
v57992	1	Collinsella
v80520	1	UBA738
v86717	2	Clostridium_M,Marseille-P3106
v43655	1	Desulfovibrio
v01375	1	Fournierella
v24471	1	Blautia_A
v47711	1	Faecalibacterium
v41486	1	Bacteroides
v65464	2	Bacteroides_A,Parabacteroides
v65462	2	Lachnobacterium,CAG-81
v58558	10	Ruminococcus_A,Lachnospiraceae_unknown,Blautia_A,Fusicatenibacter,Dorea,Coprococcus_B,Acetatifactor,Lachnospira,Agathobacter,Eubacterium_G
v73572	1	Blautia_A
v40426	2	UBA9502,Blautia_A
v06534	1	Lactobacillus_H
v05039	2	Paraprevotella,Bacteroides
v00998	1	Bacteroides
v22216	3	Bacteroides_A,Butyricimonas,Bacteroides
v78083	1	Akkermansia
v67171	1	Citrobacter
v53078	1	Collinsella
v77153	1	Parabacteroides
v83337	1	ER4
v32355	1	Streptococcus
v87331	1	Oscillibacter
v37308	1	Blautia_A
v79406	1	Odoribacter
v08029	1	Parabacteroides
v61001	2	Clostridium_E,Acutalibacteraceae_unknown
v08045	1	UBA3818
v57325	1	Escherichia
v87589	3	Lachnospira,Agathobacter,TF01-11
v12225	1	Erysipelatoclostridium
v88690	2	Saccharimonadaceae_unknown,Blautia_A
v12866	1	Agathobaculum
v75772	1	Dialister
v39072	1	Faecalicatena
v68225	1	Eubacterium_E
v18419	1	Faecalicatena
v67875	1	KLE1615
v08505	1	Collinsella
v21779	1	Paraprevotella
v45283	1	CAG-83
v82390	1	CAG-83
v53963	1	Eubacterium_E
v07689	1	UBA1381_unknown
v22161	2	Acutalibacteraceae_unknown,CAG-180
v63447	3	CAG-74_unknown,QAMM01,An200
v86605	1	Faecalibacterium
v11846	1	CAG-485
v08356	2	Cronobacter,Enterobacter
v79593	1	Oscillospiraceae_unknown
v06777	17	UBA7182,Blautia_A,Bacteroides,Clostridium_Q,Fournierella,Dorea,Roseburia,KLE1615,TF01-11,UBA9502,Fusicatenibacter,Eisenbergiella,Clostridium_M,Agathobacter,Eubacterium_E,Blautia,CAG-81
v82102	1	Dialister
v25368	1	Intestinibacter
v19588	1	Bacteroides_B
v09612	3	Faecalibacterium,Oscillospiraceae_unknown,UBA3818
v49706	6	Bacteroides_A,Prevotellamassilia,Prevotella,Paraprevotella,Muribaculaceae_unknown,Bacteroides
v69748	1	Methanobrevibacter_A
v59004	1	Escherichia
v75799	3	CAG-103,Lachnospirales_unknown,UBA1417
v37385	1	Blautia_A
v74353	2	Bifidobacterium,Lawsonibacter
v49850	1	Blautia_A
v03452	2	Kluyvera,Enterobacter
v92901	1	Lachnospira
v60089	1	Megasphaera
v21441	1	Anaerovoracaceae_unknown
v05856	1	Escherichia
v44040	2	Dorea,Collinsella
v56807	1	CAG-83
v10397	1	Citrobacter
v85641	1	Bacteroides
v41771	1	CAG-274
v65576	1	Ruminococcus_E
v77992	3	CAG-882,UBA9502,Blautia_A
v82226	1	Flavonifractor
v17323	1	Oscillospiraceae_unknown
v47541	1	Gemmiger
v13132	1	CAG-41
v71701	1	Lachnospiraceae_unknown
v18904	1	Haemophilus_D
v74480	1	CAG-1427
v80270	1	Bifidobacterium
v53604	1	Bifidobacterium
v20829	1	Eubacterium_G
v47465	1	Lawsonibacter
v49044	1	Enterobacter
v87738	1	Agathobacter
v78392	6	RC9,F082,Prevotellamassilia,Odoribacter,Muribaculaceae_unknown,Barnesiella
v80736	1	Prevotella
v67021	1	Eisenbergiella
v62668	1	Blautia_A
v28202	1	UBA1685
v07533	1	Faecalibacterium
v29062	11	Ruminococcus_A,Hungatella,CAG-484,Blautia_A,Hungatella_A,TF01-11,Faecalicatena,Dorea,Coprococcus_B,Clostridium_M,Blautia
v68069	1	Streptococcus
v50896	1	Faecalicatena
v02532	1	Eisenbergiella
v51942	1	Ruminococcus_E
v21378	1	Phocea
v00828	1	Ruminococcus_E
v13362	1	Coprobacter
v20281	1	Klebsiella_A
v25459	1	Collinsella
v56211	1	Bacteroides
v11982	1	Faecalibacterium
v76900	2	Alistipes,Duncaniella
v03527	1	Ruminococcus_E
v75218	1	Escherichia
v74035	1	Eubacterium
v63752	2	Bacteroides_B,Bacteroides
v69429	1	Faecalicatena
v33863	1	Blautia_A
v81126	1	Faecalibacterium
v39325	1	Prevotella
v18025	1	CAG-110
v09429	1	Klebsiella
v02407	1	Bacteroides_B
v61046	1	Turicimonas
v13504	1	Prevotella
v41427	1	Prevotellamassilia
v65114	2	Prevotellamassilia,Prevotella
v46779	1	Ruminococcus_C
v09087	1	Dialister
v17432	2	UBA1390,CAG-83
v02645	1	Phascolarctobacterium_A
v80564	3	Oscillibacter,UBA9475,ER4
v74570	1	Faecalibacterium
v78658	1	Eubacterium_R
v65195	1	Bifidobacterium
v65853	1	Blautia_A
v13412	1	CAG-495
v16779	1	Dialister
v22782	1	An172
v30928	1	Bifidobacterium
v74556	1	Bilophila
v11851	2	CAG-510,CAG-411
v85366	1	CAG-74_unknown
v44628	1	Akkermansia
v43507	1	CAG-269
v75988	1	CAG-83
v43049	2	Anaerostipes,CAG-269
v46611	1	Ruminococcus_E
v44408	2	Metakosakonia,Enterobacter
v62100	1	Faecalibacterium
v55648	2	Prevotellamassilia,Prevotella
v51213	1	CAG-269
v75104	1	Enterococcus_D
v91358	1	Bacteroides
v69387	3	Murimonas,Anaerostipes,CAG-269
v40097	1	Ruminococcus_C
v59511	6	CAG-1031,Porphyromonas,Paraprevotella,Prevotella,Bacteroides,Barnesiella
v09417	1	Duodenibacillus
v52353	1	UBA1390
v33465	1	CAG-110
v53930	1	Faecalicatena
v71906	1	Akkermansia
v88941	1	Faecalibacterium
v68662	1	Gemmiger
v46140	1	Dialister
v39840	1	Bifidobacterium
v03190	1	Alistipes
v33321	1	Oscillibacter
v51703	1	Adlercreutzia
v13265	2	Megamonas,Veillonellales_unknown
v45776	1	Anaerotignum
v46618	1	Lachnospira
v01593	1	Phascolarctobacterium_A
v34152	1	Negativibacillus
v66087	6	Faecalibacterium,CAG-170,CAG-83,Ruminiclostridium_C,ER4,Collinsella
v58004	1	Barnesiella
v05978	1	Ruminococcus_A
v91187	1	Bacteroides_F
v40393	1	PeH17
v29741	5	RC9,F082,Prevotellamassilia,Odoribacter,Muribaculaceae_unknown
v22528	5	Coprobacter,Lachnospiraceae_unknown,Roseburia,Agathobacter,CAG-411
v34437	1	Ruminococcus_D
v79134	1	CAG-170
v17253	1	Ruminococcus_E
v65780	1	Agathobaculum
v37347	1	CAG-492
v71757	1	Dorea
v06721	1	Bacteroides_A
v33712	1	Faecalibacterium
v17824	1	Klebsiella
v86295	1	Blautia_A
v22425	1	Faecalibacterium
v64169	1	Acutalibacteraceae_unknown
v80419	1	Oscillospiraceae_unknown
v52281	1	Phascolarctobacterium_A
v17229	1	Clostridium_A
v66844	1	Blautia_A
v66821	1	Lawsonibacter
v46318	1	Hungatella_A
v72391	1	Lachnospira
v34643	1	CAG-74_unknown
v10185	2	Serratia,Klebsiella
v00187	1	Ruminococcus_D
v58498	1	QALS01
v56392	1	CAG-269
v23552	1	Bifidobacterium
v83588	1	Barnesiella
v04756	1	Escherichia
v54516	1	Hungatella_A
v21515	1	Ruminococcus_E
v58902	1	Blautia_A
v44754	1	Megamonas
v26653	1	Faecalicatena
v01803	2	Anaerostipes,CAG-269
